,등교,쉬는시간,하교,체육,식사시간(간식 포함),방과후과정,그 밖의 교육활동 시간,동아리활동,체육대회,이론수업,경기출전,기타 학교체류,"기타(음악, 미술 등)",기타 특별활동시간,자율활동,현장학습,진로활동,실과(기술·가정),돌봄교실,과학,"수련활동, 수학여행",자습시간,"음악, 미술",학교축제,기타 활동시간,봉사활동,자유놀이활동시간,"신체활동, 게임",실외활동(바깥놀이 포함),요리활동,"수학, 과학활동"
초1 (n=19886),1.77,7.67,2.94,-28.74,4.43,7.66,0.79,-2.96,-2.23,4.12,-1.49,0.31,1.69,-0.77,0.88,0.1,-0.56,-0.59,5.61,-0.44,-0.43,0.32,0.08,-0.11,-0.0,-0.09,0.04,0.0,0.01,-0.0,-0.0
초2 (n=21590),1.7,7.79,3.9,-26.83,6.76,5.55,0.0,-2.78,-2.01,3.33,-1.49,0.06,2.33,-0.65,0.47,0.21,-0.5,-0.59,3.42,-0.4,-0.42,0.24,0.03,-0.11,0.01,-0.04,-0.0,0.01,0.01,-0.0,-0.0
초3 (n=26357),0.69,5.43,3.53,-6.7,2.39,2.02,-0.95,-2.78,-1.93,0.66,-1.45,-0.0,0.11,-0.6,0.25,0.32,-0.44,-0.59,0.06,0.22,-0.39,0.07,0.21,-0.1,-0.01,-0.03,0.01,-0.0,0.0,0.0,-0.0
초4 (n=33433),0.06,1.94,2.02,2.98,-0.14,1.14,-0.75,-2.56,-1.82,0.13,-1.31,-0.14,-0.1,-0.55,0.15,0.22,-0.28,-0.58,-0.3,0.21,-0.4,0.04,0.15,-0.09,-0.02,-0.02,-0.0,0.0,-0.0,-0.0,0.0
초5 (n=43100),-0.21,1.93,1.22,1.78,0.93,0.05,-0.32,-2.08,-1.67,-0.16,-1.02,-0.3,-0.23,-0.25,0.5,0.1,-0.07,-0.05,-0.4,0.45,-0.19,0.06,0.05,-0.1,-0.02,-0.02,0.01,-0.0,-0.0,-0.0,-0.0
초6 (n=51059),-0.34,0.64,0.46,2.84,-0.63,-0.28,-0.01,-1.63,-1.26,-0.0,-0.65,-0.11,-0.18,-0.05,0.68,0.25,-0.07,-0.17,-0.42,0.79,0.14,-0.01,0.11,-0.08,-0.01,-0.01,-0.0,0.0,-0.0,-0.0,-0.0
중1 (n=67467),-0.38,3.8,-1.26,2.88,-1.04,-1.63,-0.4,2.0,-0.64,-0.41,-0.69,-0.5,-0.23,0.1,-0.39,-0.06,-0.02,-0.1,-0.47,-0.14,-0.06,-0.25,-0.06,-0.01,-0.03,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
중2 (n=61806),-0.51,-0.32,-1.58,5.71,-1.5,-1.39,-0.26,2.96,0.15,-0.71,0.08,-0.41,-0.49,0.03,-0.52,-0.29,-0.08,0.08,-0.47,-0.26,0.07,-0.25,-0.1,0.05,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
중3 (n=59065),-0.63,-3.97,-1.71,6.12,-1.37,-1.43,0.22,3.79,0.76,-0.63,1.22,-0.44,-0.49,0.28,-0.49,-0.15,0.07,0.07,-0.47,-0.25,-0.17,-0.25,-0.07,0.02,-0.0,-0.02,-0.0,-0.0,-0.0,-0.0,-0.0
고1 (n=39465),0.34,-5.05,-0.98,1.83,-1.27,-0.48,0.63,-0.66,2.56,-0.74,1.21,1.23,-0.17,0.55,-0.2,-0.06,0.42,0.26,-0.47,-0.08,0.62,0.23,0.02,0.16,0.04,0.06,-0.0,0.0,-0.0,-0.0,-0.0
고2 (n=40463),0.01,-6.79,-1.19,2.02,-1.33,-0.56,0.96,-0.52,3.39,-0.83,2.22,0.86,-0.11,0.56,-0.05,-0.13,0.5,0.41,-0.47,-0.16,0.81,0.18,-0.1,0.18,0.06,0.08,-0.0,-0.0,-0.0,-0.0,-0.0
고3 (n=25877),0.36,-6.5,-0.48,-0.49,2.19,-1.27,0.43,-1.58,3.52,-0.83,2.15,0.65,0.39,0.23,-0.16,-0.14,0.56,1.49,-0.47,-0.22,-0.25,0.5,-0.13,0.02,0.03,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
특1 (n=619),2.94,-3.64,1.16,-23.07,-3.03,1.97,2.1,-2.32,-1.93,12.17,-1.5,0.64,6.69,1.09,2.61,0.85,0.32,1.5,0.5,0.34,0.21,-0.35,0.29,0.17,0.22,0.07,-0.0,-0.0,-0.0,-0.0,-0.0
