학년,건수,1순위 시간대,1순위 비율(%),2순위 시간대,2순위 비율(%)
초1,19886,쉬는시간,23.8,식사시간(간식 포함),20.7
초2,21590,쉬는시간,23.9,식사시간(간식 포함),23.0
초3,26357,체육,30.3,쉬는시간,21.5
초4,33433,체육,39.9,쉬는시간,18.0
초5,43100,체육,38.7,쉬는시간,18.0
초6,51059,체육,39.8,쉬는시간,16.7
중1,67467,체육,39.8,쉬는시간,19.9
중2,61806,체육,42.7,쉬는시간,15.8
중3,59065,체육,43.1,식사시간(간식 포함),14.9
고1,39465,체육,38.8,식사시간(간식 포함),15.0
고2,40463,체육,39.0,식사시간(간식 포함),14.9
고3,25877,체육,36.5,식사시간(간식 포함),18.5
특1,619,이론수업,14.5,체육,13.9
특2,587,이론수업,15.8,쉬는시간,14.1
특3,436,체육,18.8,쉬는시간,15.8
특4,117,체육,21.4,쉬는시간,17.1
특5,128,체육,21.9,이론수업,18.8
특6,133,체육,18.0,쉬는시간,14.3
